各省	ge sheng 
短缺	duan que 
跨地区	kua di qu 
并重	bing zhong 
整村	zheng cun 
计票	ji piao 
扣押	kou ya 
相衔接	xiang xian jie 
医学科	yi xue ke 
再生资源	zai sheng zi yuan 
音像	yin xiang 
超过	chao guo 
扯皮	che pi 
工程项目	gong cheng xiang mu 
应保	ying bao 
经营场所	jing ying chang suo 
免予	mian yu 
孤网	gu wang 
高附加值	gao fu jia zhi 
保险资金	bao xian zi jin 
终期	zhong qi 
坐标	zuo biao 
发展中国家	fa zhan zhong guo jia 
医保局	yi bao ju 
共计	gong ji 
展示	zhan shi 
议定书	yi ding shu 
委要	wei yao 
率下	lv xia 
退税	tui shui 
入学年龄	ru xue nian ling 
建设司	jian she si 
参谋	can mou 
士衔	shi xian 
第三十七条	di san shi qi tiao 
山水	shan shui 
正当竞争	zheng dang jing zheng 
应纳税额	ying na shui e 
开设	kai she 
中旬	zhong xun 
托海镇	tuo hai zhen 
河源市	he yuan shi 
音像制品	yin xiang zhi pin 
沿着	yan zhe 
计算	ji suan 
布局调整	bu ju tiao zheng 
国土资源部	guo tu zi yuan bu 
大幅提高	da fu ti gao 
每月	mei yue 
监测站	jian ce zhan 
松原市	song yuan shi 
守信	shou xin 
公共	gong gong 
本省	ben sheng 
东村	dong cun 
报刊	bao kan 
充满活力	chong man huo li 
实时	shi shi 
转任	zhuan ren 
标准规定	biao zhun gui ding 
专家学者	zhuan jia xue zhe 
经济委员会	jing ji wei yuan hui 
信访	xin fang 
贺信	he xin 
阻碍	zu ai 
基准	ji zhun 
超大	chao da 
充分利用	chong fen li yong 
赣州市	gan zhou shi 
指标	zhi biao 
停职	ting zhi 
储备物资	chu bei wu zi 
医科大学	yi ke da xue 
舟曲	zhou qu 
移风易俗	yi feng yi su 
民用航空	min yong hang kong 
中益	zhong yi 
薄弱环节	bo ruo huan jie 
管理信息系统	guan li xin xi xi tong 
提醒	ti xing 
居住证	ju zhu zheng 
培养目标	pei yang mu biao 
积极探索	ji ji tan suo 
大窑湾	da yao wan 
国家市场监督管理总局	guo jia shi chang jian du guan li zong ju 
运城市	yun cheng shi 
党的纪律	dang de ji lv 
尸检	shi jian 
商业部	shang ye bu 
干线	gan xian 
带量	dai liang 
执法监督	zhi fa jian du 
抚远	fu yuan 
教科文卫体	jiao ke wen wei ti 
技术推广	ji shu tui guang 
讲话	jiang hua 
物流业	wu liu ye 
数额	shu e 
中南大学	zhong nan da xue 
处级	chu ji 
价格合理	jia ge he li 
合格率	he ge lv 
下设	xia she 
新乡	xin xiang 
楚雄	chu xiong 
新开工	xin kai gong 
检查和	jian cha he 
新药	xin yao 
强行	qiang xing 
以点带面	yi dian dai mian 
六是	liu shi 
经验丰富	jing yan feng fu 
内涝	nei lao 
扩大内需	kuo da nei xu 
院内	yuan nei 
个人信息	ge ren xin xi 
远景	yuan jing 
战略规划	zhan lve gui hua 
放到	fang dao 
减少	jian shao 
马克思主义	ma ke si zhu yi 
毕业生	bi ye sheng 
循序渐进	xun xu jian jin 
数学	shu xue 
对台	dui tai 
或者	huo zhe 
普及	pu ji 
第三十四条	di san shi si tiao 
法律事务	fa lv shi wu 
绕城	rao cheng 
焚烧	fen shao 
邵阳市	shao yang shi 
排雷	pai lei 
克服	ke fu 
产生量	chan sheng liang 
首次	shou ci 
农牧业	nong mu ye 
先进个人	xian jin ge ren 
书记	shu ji 
批转	pi zhuan 
晨光	chen guang 
吉林市	ji lin shi 
待遇	dai yu 
监视	jian shi 
第二十一条	di er shi yi tiao 
为小微	wei xiao wei 
明显降低	ming xian jiang di 
冒名	mao ming 
取暖	qu nuan 
覆盖全国	fu gai quan guo 
行政	xing zheng 
公共卫生	gong gong wei sheng 
教授	jiao shou 
升学	sheng xue 
道德素质	dao de su zhi 
外观设计	wai guan she ji 
会昌县	hui chang xian 
赤峰市	chi feng shi 
智慧	zhi hui 
基本知识	ji ben zhi shi 
基数	ji shu 
惩治	cheng zhi 
地九市	di jiu shi 
以县	yi xian 
研究中心	yan jiu zhong xin 
惠州	hui zhou 
健康	jian kang 
跨部门	kua bu men 
打通	da tong 
交易中心	jiao yi zhong xin 
套取	tao qu 
离岸	li an 
基本方针	ji ben fang zhen 
海南省人民政府	hai nan sheng ren min zheng fu 
约定	yue ding 
其余	qi yu 
国家税务总局	guo jia shui wu zong ju 
严肃查处	yan su cha chu 
关爱	guan ai 
主治医师	zhu zhi yi shi 
依法打击	yi fa da ji 
代表团	dai biao tuan 
食品工业	shi pin gong ye 
颁授	ban shou 
签字	qian zi 
加工区	jia gong qu 
金华市	jin hua shi 
金山	jin shan 
本人	ben ren 
队员	dui yuan 
调拨	tiao bo 
区域	qu yu 
正派	zheng pai 
中国证券监督管理委员会	zhong guo zheng quan jian du guan li wei yuan hui 
火险	huo xian 
虚开	xu kai 
请示报告	qing shi bao gao 
共建	gong jian 
管住	guan zhu 
政治	zheng zhi 
缓办	huan ban 
议题	yi ti 
多种形式	duo zhong xing shi 
外交政策	wai jiao zheng ce 
防震	fang zhen 
努力提高	nu li ti gao 
之前	zhi qian 
生物医药	sheng wu yi yao 
吉首市	ji shou shi 
流动党员	liu dong dang yuan 
二十三	er shi san 
镇南	zhen nan 
报批	bao pi 
自贸区	zi mao qu 
村务	cun wu 
买方市场	mai fang shi chang 
民航机场	min hang ji chang 
口径	kou jing 
珠山区	zhu shan qu 
菏泽市	he ze shi 
严重威胁	yan zhong wei xie 
中医药	zhong yi yao 
博览会	bo lan hui 
纪律作风	ji lv zuo feng 
关镇	guan zhen 
团伙	tuan huo 
美丽乡村	mei li xiang cun 
标志	biao zhi 
主责	zhu ze 
提前	ti qian 
向省	xiang sheng 
来自	lai zi 
体育	ti yu 
保险条例	bao xian tiao li 
新加坡	xin jia po 
核实	he shi 
客运段	ke yun duan 
层级	ceng ji 
团组	tuan zu 
环境问题	huan jing wen ti 
漳县	zhang xian 
拆除	chai chu 
三十年	san shi nian 
北门	bei men 
合法	he fa 
协商一致	xie shang yi zhi 
环境保护部	huan jing bao hu bu 
舟山市	zhou shan shi 
证据	zheng ju 
公安部	gong an bu 
删去	shan qu 
发言人	fa yan ren 
合一	he yi 
中央纪律检查委员会	zhong yang ji lv jian cha wei yuan hui 
中央人民政府	zhong yang ren min zheng fu 
政研室	zheng yan shi 
查获	cha huo 
人事制度	ren shi zhi du 
面源	mian yuan 
响应	xiang ying 
扶贫	fu pin 
出台	chu tai 
东海县	dong hai xian 
试点经验	shi dian jing yan 
民族自治	min zu zi zhi 
追溯	zhui su 
中央调剂基金	zhong yang tiao ji ji jin 
病案	bing an 
延庆	yan qing 
汉中市	han zhong shi 
金秀瑶族自治县	jin xiu yao zu zi zhi xian 
银行贷款	yin hang dai kuan 
展会	zhan hui 
亿人	yi ren 
钦州市	qin zhou shi 
移动	yi dong 
统战工作	tong zhan gong zuo 
外资银行	wai zi yin hang 
常山县	chang shan xian 
互联互通	hu lian hu tong 
高等教育	gao deng jiao yu 
镇江	zhen jiang 
跨行业	kua hang ye 
场长	chang zhang 
召回	zhao hui 
征得	zheng de 
人未	ren wei 
准则	zhun ze 
初评	chu ping 
借贷	jie dai 
绿色消费	lv se xiao fei 
剂型	ji xing 
消除	xiao chu 
试行	shi xing 
提高素质	ti gao su zhi 
招收	zhao shou 
执行官	zhi xing guan 
精力	jing li 
一届	yi jie 
共管	gong guan 
高校	gao xiao 
治军	zhi jun 
管理部门	guan li bu men 
依法处理	yi fa chu li 
骨干网	gu gan wang 
十二五	shi er wu 
装配	zhuang pei 
家居	jia ju 
挥发性	hui fa xing 
建新	jian xin 
撤并	che bing 
扬州市	yang zhou shi 
彭阳县	peng yang xian 
协定	xie ding 
技师	ji shi 
统计分析	tong ji fen xi 
统计调查	tong ji diao cha 
购置税	gou zhi shui 
扣缴	kou jiao 
七科二	qi ke er 
生物医学	sheng wu yi xue 
减灾	jian zai 
价格政策	jia ge zheng ce 
来宾市	lai bin shi 
红十字	hong shi zi 
电视台	dian shi tai 
质押	zhi ya 
公平竞争	gong ping jing zheng 
全心全意	quan xin quan yi 
二十四	er shi si 
选票	xuan piao 
退役军人	tui yi jun ren 
调研员	diao yan yuan 
接诊	jie zhen 
此基础	ci ji chu 
亿元	yi yuan 
法治	fa zhi 
三明市	san ming shi 
工作实绩	gong zuo shi ji 
以内	yi nei 
实业集团	shi ye ji tuan 
活动中心	huo dong zhong xin 
水上	shui shang 
任期制	ren qi zhi 
轻工	qing gong 
紧迫	jin po 
工时	gong shi 
第三类	di san lei 
十四五	shi si wu 
原则	yuan ze 
恐怖	kong bu 
收运	shou yun 
排涝	pai lao 
计算机网络	ji suan ji wang luo 
工作	gong zuo 
人力	ren li 
侵犯	qin fan 
居家	ju jia 
浪费	lang fei 
分阶段	fen jie duan 
西沟村	xi gou cun 
妇女组织	fu nv zu zhi 
一照	yi zhao 
卫生	wei sheng 
应对	ying dui 
坚实基础	jian shi ji chu 
第七届	di qi jie 
婚姻	hun yin 
合并	he bing 
南宁市	nan ning shi 
信用社	xin yong she 
谋取	mou qu 
水稻	shui dao 
奥林匹克运动会	ao lin pi ke yun dong hui 
突发事件	tu fa shi jian 
中国人民银行	zhong guo ren min yin hang 
大病保险	da bing bao xian 
年内	nian nei 
每亩	mei mu 
举措	ju cuo 
办实事	ban shi shi 
怀化	huai hua 
自筹	zi chou 
慢性病	man xing bing 
制药	zhi yao 
利息	li xi 
带宽	dai kuan 
手术	shou shu 
全体会议	quan ti hui yi 
限额	xian e 
消费	xiao fei 
环境容量	huan jing rong liang 
发展处	fa zhan chu 
整改措施	zheng gai cuo shi 
交送	jiao song 
滁州市	chu zhou shi 
特设	te she 
正当理由	zheng dang li you 
政绩	zheng ji 
巡察	xun cha 
主阵地	zhu zhen di 
等次	deng ci 
中共中央	zhong gong zhong yang 
领导人	ling dao ren 
第一批	di yi pi 
夷陵区	yi ling qu 
河路	he lu 
辽宁大连	liao ning da lian 
涉外活动	she wai huo dong 
充分调动	chong fen diao dong 
胜任	sheng ren 
四中	si zhong 
信号	xin hao 
专栏	zhuan lan 
市场准入	shi chang zhun ru 
宗教	zong jiao 
进出境	jin chu jing 
并视	bing shi 
商事	shang shi 
上级人民政府	shang ji ren min zheng fu 
案件	an jian 
下乡	xia xiang 
领导	ling dao 
顺畅	shun chang 
进程	jin cheng 
乡风	xiang feng 
放射性	fang she xing 
周边国家	zhou bian guo jia 
效用	xiao yong 
回国	hui guo 
精品	jing pin 
呼吸	hu xi 
共同理想	gong tong li xiang 
反对	fan dui 
利润	li run 
水质	shui zhi 
党要	dang yao 
质疑	zhi yi 
国防	guo fang 
中建	zhong jian 
开垦	kai ken 
身份	shen fen 
电器	dian qi 
德阳市	de yang shi 
减轻	jian qing 
政府职能	zheng fu zhi neng 
中央生态环境保护督察办公室	zhong yang sheng tai huan jing bao hu du cha ban gong shi 
远程教育	yuan cheng jiao yu 
违规	wei gui 
市级	shi ji 
教学资源	jiao xue zi yuan 
限定	xian ding 
核验	he yan 
企业法人	qi ye fa ren 
笔录	bi lu 
复旦大学	fu dan da xue 
对省	dui sheng 
用能权	yong neng quan 
知情人	zhi qing ren 
促使	cu shi 
个人账户	ge ren zhang hu 
长官	zhang guan 
二人	er ren 
化等	hua deng 
山岭	shan ling 
优惠政策	you hui zheng ce 
各学科	ge xue ke 
重症医学科	zhong zheng yi xue ke 
器械	qi xie 
自然语言	zi ran yu yan 
演变	yan bian 
自主创新	zi zhu chuang xin 
保障性	bao zhang xing 
军地	jun di 
连接	lian jie 
逃避	tao bi 
房产	fang chan 
产出率	chan chu lv 
科协	ke xie 
三是	san shi 
必审	bi shen 
列出	lie chu 
公正性	gong zheng xing 
存放	cun fang 
震灾	zhen zai 
生活方式	sheng huo fang shi 
生前	sheng qian 
第三十九条	di san shi jiu tiao 
废气	fei qi 
昌都	chang dou 
首要任务	shou yao ren wu 
社会性	she hui xing 
充分考虑	chong fen kao lv 
确保	que bao 
出厂	chu chang 
无着	wu zhuo 
要素市场化	yao su shi chang hua 
华南	hua nan 
电子商务	dian zi shang wu 
排放口	pai fang kou 
粤港澳	yue gang ao 
会计制度	kuai ji zhi du 
遵义市	zun yi shi 
奖励	jiang li 
名称	ming cheng 
城市规划	cheng shi gui hua 
大通道	da tong dao 
深化党	shen hua dang 
承诺	cheng nuo 
规模	gui mo 
困难群众	kun nan qun zhong 
神经内科	shen jing nei ke 
秩序	zhi xu 
绥棱县	sui leng xian 
怀孕	huai yun 
华东	hua dong 
民主决策	min zhu jue ce 
全党	quan dang 
喀拉	ka la 
宜草	yi cao 
危险废物	wei xian fei wu 
粮棉油	liang mian you 
执法机关	zhi fa ji guan 
文化遗产	wen hua yi chan 
增创	zeng chuang 
利民	li min 
重叠	chong die 
足球	zu qiu 
未成年	wei cheng nian 
重视	zhong shi 
紧紧	jin jin 
上同	shang tong 
第三款	di san kuan 
呈现	cheng xian 
社交	she jiao 
措施	cuo shi 
天津港	tian jin gang 
运输能力	yun shu neng li 
按本	an ben 
红旗	hong qi 
古籍	gu ji 
提倡	ti chang 
医院	yi yuan 
医药集团	yi yao ji tuan 
该放	gai fang 
东至	dong zhi 
避免	bi mian 
法无	fa wu 
停工	ting gong 
性支出	xing zhi chu 
顶尖	ding jian 
长效	zhang xiao 
海棠	hai tang 
劳务	lao wu 
作价	zuo jia 
高温	gao wen 
即时	ji shi 
央地	yang di 
思想观念	si xiang guan nian 
国资委	guo zi wei 
爱国统一战线	ai guo tong yi zhan xian 
党代表大会	dang dai biao da hui 
夹带	jia dai 
随访	sui fang 
资格证	zi ge zheng 
能上能下	neng shang neng xia 
税款	shui kuan 
财务收支	cai wu shou zhi 
宁乡	ning xiang 
高新技术产业开发区	gao xin ji shu chan ye kai fa qu 
中国民航局	zhong guo min hang ju 
实业	shi ye 
委等	wei deng 
科学院	ke xue yuan 
带动	dai dong 
宏观管理	hong guan guan li 
统计表	tong ji biao 
样本	yang ben 
宝山区	bao shan qu 
专款专用	zhuan kuan zhuan yong 
外来	wai lai 
日经	ri jing 
运输工具	yun shu gong ju 
湖南省	hu nan sheng 
敬老	jing lao 
指挥部	zhi hui bu 
接收	jie shou 
杭州	hang zhou 
调查组	diao cha zu 
卫生局	wei sheng ju 
奋斗	fen dou 
钢结构	gang jie gou 
党校	dang xiao 
记录	ji lu 
不折不扣	bu zhe bu kou 
蓝天	lan tian 
无症状	wu zheng zhuang 
监护	jian hu 
工商户	gong shang hu 
民主集中	min zhu ji zhong 
博士	bo shi 
奥组委	ao zu wei 
突发公共卫生事件	tu fa gong gong wei sheng shi jian 
普遍性	pu bian xing 
业绩考核	ye ji kao he 
巴林右旗	ba lin you qi 
期限	qi xian 
环境污染	huan jing wu ran 
诚实信用	cheng shi xin yong 
组团	zu tuan 
人民武装	ren min wu zhuang 
转化	zhuan hua 
各项	ge xiang 
信贷	xin dai 
履职	lv zhi 
广州市	guang zhou shi 
书籍	shu ji 
太平	tai ping 
拒报	ju bao 
国家林业局	guo jia lin ye ju 
信用	xin yong 
思想认识	si xiang ren shi 
资金分配	zi jin fen pei 
贵南县	gui nan xian 
池州市	chi zhou shi 
婚姻登记	hun yin deng ji 
红十字会	hong shi zi hui 
关于	guan yu  
退税率	tui shui lv 
门店	men dian 
公共事务	gong gong shi wu 
彩票	cai piao 
设施	she shi 
深度	shen du 
居留	ju liu 
兴安盟	xing an meng 
濮阳市	pu yang shi 
联审	lian shen 
侵害	qin hai 
耀州区	yao zhou qu 
师德师	shi de shi 
赣江	gan jiang 
诫勉	jie mian 
无锡	wu xi 
中医医院	zhong yi yi yuan 
整车	zheng che 
纪念碑	ji nian bei 
强国	qiang guo 
依法治国	yi fa zhi guo 
欺诈	qi zha 
学风	xue feng 
空军	kong jun 
出庭	chu ting 
组织生活	zu zhi sheng huo 
难题	nan ti 
分担	fen dan 
要案	yao an 
参与权	can yu quan 
综合性	zong he xing 
科副	ke fu 
命令	ming ling 
钢铁工业	gang tie gong ye 
监督机构	jian du ji gou 
质效	zhi xiao 
武汉	wu han 
卫生院	wei sheng yuan 
邮政法	you zheng fa 
意见建议	yi jian jian yi 
制止	zhi zhi 
持续增长	chi xu zeng zhang 
涞源县	lai yuan xian 
上学	shang xue 
引擎	yin qing 
南京医科大学	nan jing yi ke da xue 
公共安全	gong gong an quan 
结构合理	jie gou he li 
部商	bu shang 
矿业集团	kuang ye ji tuan 
驻地	zhu di 
核工业	he gong ye 
司法鉴定	si fa jian ding 
州委	zhou wei 
托管	tuo guan 
指挥员	zhi hui yuan 
各族人民	ge zu ren min 
超前	chao qian 
病例	bing li 
国内市场	guo nei shi chang 
传媒	chuan mei 
个数	ge shu 
年报	nian bao 
建始县	jian shi xian 
低保	di bao 
组织纪律	zu zhi ji lv 
定名	ding ming 
事宜	shi yi 
举报电话	ju bao dian hua 
苏州工业园区	su zhou gong ye yuan qu 
面向社会	mian xiang she hui 
同质	tong zhi 
管委会	guan wei hui 
由党	you dang 
关联方	guan lian fang 
地震局	di zhen ju 
日电	ri dian 
管理部	guan li bu 
届满	jie man 
预报	yu bao 
进口商	jin kou shang 
整体性	zheng ti xing 
政法	zheng fa 
不断涌现	bu duan yong xian 
建筑学	jian zhu xue 
公司债券	gong si zhai quan 
他们	ta men 
高发	gao fa 
战略地位	zhan lve di wei 
试点单位	shi dian dan wei 
一条	yi tiao 
先行先试	xian xing xian shi 
维权	wei quan 
组长	zu zhang 
覆盖范围	fu gai fan wei 
专科	zhuan ke 
黔东南苗族侗族自治州	qian dong nan miao zu dong zu zi zhi zhou 
时效性	shi xiao xing 
电子签名	dian zi qian ming 
全国联网	quan guo lian wang 
微观	wei guan 
荒漠	huang mo 
中国医学科学院	zhong guo yi xue ke xue yuan 
广电总局	guang dian zong ju 
什么	shen me 
信用风险	xin yong feng xian 
靠山	kao shan 
技术产业	ji shu chan ye 
选拔	xuan ba 
过境	guo jing 
非必要	fei bi yao 
培养教育	pei yang jiao yu 
经营服务性	jing ying fu wu xing 
绿化	lv hua 
尽快恢复	jin kuai hui fu 
取得成效	qu de cheng xiao 
汾渭	fen wei 
应急	ying ji 
民主权利	min zhu quan li 
体育局	ti yu ju 
互动	hu dong 
平均工资	ping jun gong zi 
试办	shi ban 
省市	sheng shi 
倒逼	dao bi 
温州市	wen zhou shi 
经营户	jing ying hu 
校园	xiao yuan 
退耕还林	tui geng hai lin 
保定	bao ding 
符合实际	fu he shi ji 
年金	nian jin 
经得起	jing de qi 
廉政	lian zheng 
工匠	gong jiang 
担保责任	dan bao ze ren 
入场	ru chang 
行政性	xing zheng xing 
自我	zi wo 
步行街	bu xing jie 
采砂	cai sha 
会计年度	kuai ji nian du 
持有	chi you 
花垣县	hua yuan xian 
师范学院	shi fan xue yuan 
市场需求	shi chang xu qiu 
各种	ge zhong 
获益	huo yi 
伽师县	ga shi xian 
治安管理	zhi an guan li 
全方位	quan fang wei 
邵阳县	shao yang xian 
动态平衡	dong tai ping heng 
考录	kao lu 
经营企业法	jing ying qi ye fa 
军事行动	jun shi xing dong 
材料	cai liao 
流量	liu liang 
营养素	ying yang su 
单独	dan du 
继续	ji xu 
顾问	gu wen 
空缺	kong que 
铁路局	tie lu ju 
非经营性	fei jing ying xing 
放射	fang she 
巾帼	jin guo 
罗布	luo bu 
追求真理	zhui qiu zhen li 
工作力度	gong zuo li du 
德治	de zhi 
法律案	fa lv an 
扫黑	sao hei 
侵占	qin zhan 
原值	yuan zhi 
第二次	di er ci 
北方地区	bei fang di qu 
机器人	ji qi ren 
延长	yan chang 
银山	yin shan 
制订	zhi ding 
国营	guo ying 
下沉	xia chen 
清朗	qing lang 
而用	er yong 
失职	shi zhi 
减负	jian fu 
热线	re xian 
到户	dao hu 
做细	zuo xi 
服务	fu wu 
在线教育	zai xian jiao yu 
知识	zhi shi 
优良	you liang 
力戒	li jie 
通海县	tong hai xian 
晋江市	jin jiang shi 
冠状病毒	guan zhuang bing du 
健全	jian quan 
援鄂	yuan e 
变革	bian ge 
二道	er dao 
证明	zheng ming 
通知	tong zhi 
公职人员	gong zhi ren yuan 
挽回损失	wan hui sun shi 
检举	jian ju 
发起	fa qi 
水电工程	shui dian gong cheng 
福建	fu jian 
门户	men hu 
住所	zhu suo 
规程	gui cheng 
解释	jie shi 
异常情况	yi chang qing kuang 
评估	ping gu 
民政局	min zheng ju 
汇交	hui jiao 
能源消耗	neng yuan xiao hao 
西苑	xi yuan 
选择	xuan ze 
差别	cha bie 
中国科协	zhong guo ke xie 
铜陵市	tong ling shi 
电车	dian che 
充裕	chong yu 
中宁县	zhong ning xian 
缺乏	que fa 
保证	bao zheng 
驾驶员	jia shi yuan 
通辽市	tong liao shi 
载明	zai ming 
知识价值	zhi shi jia zhi 
国际金融组织	guo ji jin rong zu zhi 
救治	jiu zhi 
党组书记	dang zu shu ji 
修改	xiu gai 
植物油	zhi wu you 
制发	zhi fa 
司法解释	si fa jie shi 
直属单位	zhi shu dan wei 
项目法人	xiang mu fa ren 
匹配	pi pei 
枢纽	shu niu 
参股	can gu 
中转	zhong zhuan 
买价	mai jia 
自然资源部	zi ran zi yuan bu 
简阳市	jian yang shi 
都市	du shi 
分析	fen xi 
域内	yu nei 
负责人	fu ze ren 
注意事项	zhu yi shi xiang 
为本	wei ben 
小五台山	xiao wu tai shan 
宣汉县	xuan han xian 
东北地区	dong bei di qu 
入驻	ru zhu 
自贡市	zi gong shi 
引资	yin zi 
非婚	fei hun 
改废	gai fei 
报业	bao ye 
负责制	fu ze zhi 
和谐	he xie 
牢牢	lao lao 
中央组织部	zhong yang zu zhi bu 
退市	tui shi 
文化氛围	wen hua fen wei 
邮寄	you ji 
交通不便	jiao tong bu bian 
东莞市	dong guan shi 
逐步完善	zhu bu wan shan 
紧扣	jin kou 
购药	gou yao 
中断	zhong duan 
举行	ju xing 
经办	jing ban 
社会安定	she hui an ding 
内部	nei bu 
晋升	jin sheng 
酌情	zhuo qing 
听取	ting qu 
配强	pei qiang 
安全形势	an quan xing shi 
作业负担	zuo ye fu dan 
拉祜族	la hu zu 
自由化	zi you hua 
切实可行	qie shi ke xing 
三支	san zhi 
水电	shui dian 
职员	zhi yuan 
主攻	zhu gong 
并处	bing chu 
近日	jin ri 
第十七条	di shi qi tiao 
临空	lin kong 
犯罪事实	fan zui shi shi 
履行	lv xing 
订餐	ding can 
省长	sheng zhang 
社保卡	she bao ka 
医疗器械	yi liao qi xie 
危房	wei fang 
一科	yi ke 
原任	yuan ren 
抵扣	di kou 
硚口区	qiao kou qu 
各项改革	ge xiang gai ge 
流浪	liu lang 
务工人员	wu gong ren yuan 
误导	wu dao 
调查取证	diao cha qu zheng 
注册证	zhu ce zheng 
摸清	mo qing 
时要	shi yao 
骗取	pian qu 
交通管理	jiao tong guan li 
旅行社	lv xing she 
三品	san pin 
按期	an qi 
警监	jing jian 
践行	jian xing 
精准	jing zhun 
肺炎	fei yan 
胸科	xiong ke 
永顺县	yong shun xian 
海原县	hai yuan xian 
面试	mian shi 
率控制	lv kong zhi 
传感器	chuan gan qi 
中央军委	zhong yang jun wei 
产业政策	chan ye zheng ce 
图案	tu an 
著作权	zhu zuo quan 
衡量	heng liang 
园村	yuan cun 
任组长	ren zu zhang 
场地设施	chang di she shi 
内河航运	nei he hang yun 
自主化	zi zhu hua 
中共中央组织部	zhong gong zhong yang zu zhi bu 
虹桥	hong qiao 
自身	zi shen 
强有力	qiang you li 
党群	dang qun 
应用程序	ying yong cheng xu 
模块化	mo kuai hua 
视觉	shi jue 
契机	qi ji 
职能部门	zhi neng bu men 
商南县	shang nan xian 
预防措施	yu fang cuo shi 
有机	you ji 
楼堂馆所	lou tang guan suo 
物价局	wu jia ju 
摸排	mo pai 
空间站	kong jian zhan 
行政村	xing zheng cun 
国家自然科学基金	guo jia zi ran ke xue ji jin 
营利	ying li 
中央级	zhong yang ji 
树立	shu li 
放映	fang ying 
捐助	juan zhu 
有限	you xian 
绵阳市	mian yang shi 
统计局	tong ji ju 
应到	ying dao 
六角	liu jiao 
账簿	zhang bu 
天然橡胶	tian ran xiang jiao 
率达	lv da 
破产	po chan 
基本原则	ji ben yuan ze 
特岗	te gang 
空气质量	kong qi zhi liang 
侨眷	qiao juan 
废旧	fei jiu 
会计准则	kuai ji zhun ze 
针对性	zhen dui xing 
策划者	ce hua zhe 
特大	te da 
郧西县	yun xi xian 
驻京办	zhu jing ban 
具体办法	ju ti ban fa 
兽医站	shou yi zhan 
年本	nian ben 
辅助	fu zhu 
刑事责任	xing shi ze ren 
西安市	xi an shi 
葫芦岛市	hu lu dao shi 
良好环境	liang hao huan jing 
院所	yuan suo 
权利义务	quan li yi wu 
责任事故	ze ren shi gu 
报告表	bao gao biao 
集中度	ji zhong du 
本质	ben zhi 
可能	ke neng 
托盘	tuo pan 
严肃	yan su 
途径	tu jing 
常委会	chang wei hui 
民心	min xin 
采取	cai qu 
和田县	he tian xian 
第三十条	di san shi tiao 
调查结果	diao cha jie guo 
林田湖草	lin tian hu cao 
人事科	ren shi ke 
风貌	feng mao 
资质证书	zi zhi zheng shu 
保学	bao xue 
每半年	mei ban nian 
农民收入	nong min shou ru 
党政	dang zheng 
票据	piao ju 
香港特别行政区	xiang gang te bie xing zheng qu 
政策法规司	zheng ce fa gui si 
分级分类	fen ji fen lei 
龙山县	long shan xian 
服务设施	fu wu she shi 
三峡库区	san xia ku qu 
有色金属	you se jin shu 
权责	quan ze 
包村	bao cun 
择优	ze you 
湖北省人民医院	hu bei sheng ren min yi yuan 
村级	cun ji 
天数	tian shu 
甘肃省委	gan su sheng wei 
不明	bu ming 
照护	zhao hu 
青龙满族自治县	qing long man zu zi zhi xian 
转交	zhuan jiao 
支流	zhi liu 
查处	cha chu 
财政预算	cai zheng yu suan 
一件	yi jian 
营业	ying ye 
南海	nan hai 
精益求精	jing yi qiu jing 
庆典	qing dian 
领导干部	ling dao gan bu 
招聘	zhao pin 
全要素生产率	quan yao su sheng chan lv 
地方性	di fang xing 
监督管理部门	jian du guan li bu men 
根治	gen zhi 
跻身	ji shen 
阿力	a li 
创业者	chuang ye zhe 
惩前毖后	cheng qian bi hou 
江华瑶族自治县	jiang hua yao zu zi zhi xian 
行政长官	xing zheng zhang guan 
稳步	wen bu 
后备力量	hou bei li liang 
物理	wu li 
时段	shi duan 
抗旱	kang han 
本村	ben cun 
股东	gu dong 
第五十二	di wu shi er 
第五十五	di wu shi wu 
小微	xiao wei 
镇长	zhen zhang 
双轮	shuang lun 
倒塌	dao ta 
景德镇市	jing de zhen shi 
准予	zhun yu 
工程施工	gong cheng shi gong 
由省	you sheng 
公正	gong zheng 
事故现场	shi gu xian chang 
第二个	di er ge 
纪律处分	ji lv chu fen 
专用线	zhuan yong xian 
高技术	gao ji shu 
丰收	feng shou 
军分区	jun fen qu 
政府	zheng fu 
屠宰	tu zai 
鉴别	jian bie 
交纳	jiao na 
放心	fang xin 
滞后	zhi hou 
可疑	ke yi 
整改	zheng gai 
食品药品	shi pin yao pin 
个别	ge bie 
居民家庭	ju min jia ting 
信贷支持	xin dai zhi chi 
预防为主	yu fang wei zhu 
十五条	shi wu tiao 
秭归县	zi gui xian 
多源	duo yuan 
蔬菜	shu cai 
产后	chan hou 
补偿金	bu chang jin 
营商	ying shang 
包干	bao gan 
兼顾	jian gu 
统一规划	tong yi gui hua 
熟练掌握	shu lian zhang wo 
夫妻	fu qi 
农垦	nong ken 
国家发展计划委员会	guo jia fa zhan ji hua wei yuan hui 
备战	bei zhan 
干旱	gan han 
有机物	you ji wu 
工商登记	gong shang deng ji 
急诊科	ji zhen ke 
负责管理	fu ze guan li 
公交	gong jiao 
核心作用	he xin zuo yong 
主战场	zhu zhan chang 
私营	si ying 
集团股份	ji tuan gu fen 
粪污	fen wu 
处长	chu zhang 
交通运输部	jiao tong yun shu bu 
水体	shui ti 
